qid,n_tables,oracle_cost,pt_regret_lin,is_trivial_oracle,t3_idx_0.01,t3_regret_0.01,t3_q_0.01,t3_idx_0.05,t3_regret_0.05,t3_q_0.05,t3_idx_0.1,t3_regret_0.1,t3_q_0.1,t3_idx_0.2,t3_regret_0.2,t3_q_0.2
2140,5,50075.0,1.0,1,4,5.351605559549485,2.805270195007324,3,1.0,0.5120906829833984,3,1.0,0.10433387756347656,3,1.0,0.14715290069580078
2141,5,186866.0,1.0480341633354204,0,2,1.0480341633354204,2.805270195007324,2,1.0480341633354204,0.5120906829833984,2,1.0480341633354204,0.10433387756347656,2,1.0480341633354204,0.14715290069580078
2142,5,291731176.0,1.493775953195431,0,0,1.0,2.805270195007324,5,1.493775953195431,0.5120906829833984,0,1.0,0.10433387756347656,0,1.0,0.14715290069580078
2143,4,24302159.0,1.0,1,6,1.0,2.805270195007324,6,1.0,0.5120906829833984,6,1.0,0.10433387756347656,6,1.0,0.14715290069580078
2144,3,4530677.0,1.0,1,2,1.0,2.805270195007324,2,1.0,0.5120906829833984,2,1.0,0.10433387756347656,2,1.0,0.14715290069580078
2145,5,33519706.0,1.0,1,3,1.0,2.805270195007324,3,1.0,0.5120906829833984,3,1.0,0.10433387756347656,3,1.0,0.14715290069580078
2146,4,2074786.0,1.0,1,5,1.0,2.805270195007324,5,1.0,0.5120906829833984,5,1.0,0.10433387756347656,5,1.0,0.14715290069580078
2147,5,19388801.0,1.0,1,7,1.0,2.805270195007324,7,1.0,0.5120906829833984,7,1.0,0.10433387756347656,7,1.0,0.14715290069580078
2148,4,7860784.0,1.0,1,5,1.0,2.805270195007324,5,1.0,0.5120906829833984,5,1.0,0.10433387756347656,5,1.0,0.14715290069580078
2149,5,47839484.0,1.0,1,7,1.0,2.805270195007324,7,1.0,0.5120906829833984,4,1.0,0.10433387756347656,7,1.0,0.14715290069580078
2150,5,1433682.0,1.0,1,0,1.0,2.805270195007324,7,1.0,0.5120906829833984,0,1.0,0.10433387756347656,0,1.0,0.14715290069580078
2151,5,442671.0,1.0,1,1,1.0,2.805270195007324,1,1.0,0.5120906829833984,1,1.0,0.10433387756347656,1,1.0,0.14715290069580078
2152,5,202057800.0,1.0,1,5,1.0,2.805270195007324,5,1.0,0.5120906829833984,5,1.0,0.10433387756347656,5,1.0,0.14715290069580078
2153,3,876574.0,1.0,1,3,1.5373721586857942,2.805270195007324,3,1.5373721586857942,0.5120906829833984,0,1.0,0.10433387756347656,0,1.0,0.14715290069580078
2154,4,10529116.0,1.0,1,5,1.0,2.805270195007324,5,1.0,0.5120906829833984,5,1.0,0.10433387756347656,5,1.0,0.14715290069580078
2155,2,30.0,1.0,1,1,1.0,2.805270195007324,1,1.0,0.5120906829833984,1,1.0,0.10433387756347656,1,1.0,0.14715290069580078
2156,5,45250527705.0,1.0,1,7,1.0,2.805270195007324,7,1.0,0.5120906829833984,7,1.0,0.10433387756347656,7,1.0,0.14715290069580078
2157,5,8083264.0,12.386939312270474,0,3,12.386939312270474,2.805270195007324,6,1.0,0.5120906829833984,6,1.0,0.10433387756347656,3,12.386939312270474,0.14715290069580078
